2019122309,豚肉とえのきと玉子炒め,600,定食,2019-12-23,2019-12-29,,週代わり定食9番
2019122315,豚肉細切りの四川風炒,750,定食,2019-12-23,2019-12-29,,週代わり定食15番
2020010609,豚肉と高菜と豆腐の旨煮,600,定食,2020-01-06,2020-01-12,,週代わり定食9番
2020010615,豚バラ肉とキャベツの黒コショウ炒め,750,定食,2020-01-06,2020-01-12,,週代わり定食15番
2020011309,豚肉とキャベツと干し豆腐のピリ辛炒め,600,定食,2020-01-13,2020-01-19,,週代わり定食9番
2020011315,鶏肉と玉ねぎのローガンマー炒め,750,定食,2020-01-13,2020-01-19,,週代わり定食15番
2020012009,豚肉ともやしと春雨のピリ辛炒め,600,定食,2020-01-20,2020-01-26,,週代わり定食9番
2020012015,豚角煮と大根の旨煮,750,定食,2020-01-20,2020-01-26,,週代わり定食15番
2020012709,豚バラ肉とじゃがいものピリ辛炒め,600,定食,2020-01-27,2020-02-02,,週代わり定食9番
2020012715,豚肉細切りの中国みそ炒め,750,定食,2020-01-27,2020-02-02,,週代わり定食15番
2020020309,豆腐と玉子と干し海老の旨煮,600,定食,2020-02-03,2020-02-09,,週代わり定食9番
2020020315,鳥肉唐揚とキャベツの四川風炒め,750,定食,2020-02-03,2020-02-09,,週代わり定食15番
2020021009,豚バラ肉と白菜の黒酢炒め,600,定食,2020-02-10,2020-01-16,,週代わり定食9番
2020021015,豚もつと玉ねぎのピリ辛炒め,750,定食,2020-02-10,2020-01-16,,週代わり定食15番
2020021709,豚肉と大根と春雨のピリ辛炒め,600,定食,2020-01-17,2020-01-23,,週代わり定食9番
2020021715,鶏肉とじゃがいものカレー,750,定食,2020-01-17,2020-01-23,,週代わり定食15番
2020022409,豚肉と玉子としめじ炒め,600,定食,2020-02-24,2020-03-01,,週代わり定食9番
2020022415,豚バラ肉の台湾バーベキューソース炒め,750,定食,2020-02-24,2020-03-01,,週代わり定食15番
2020030209,豚肉とキャベツと春雨のピリ辛炒め,600,定食,2020-03-02,2020-03-08,,週代わり定食9番
2020030215,牛肉としめじのオイスターソース炒め,750,定食,2020-03-02,2020-03-08,,週代わり定食15番
2020030909,海老と豆腐の旨煮,600,定食,2020-03-09,2020-03-15,,週代わり定食9番
2020030915,鶏肉と玉ねぎのクミン炒も,750,定食,2020-03-09,2020-03-15,,週代わり定食15番
2020032309,海鮮ミックスと豆腐の旨,600,定食,2020-03-23,2020-03-29,,週代わり定食9番
2020032315,鶏肉唐揚げのマヨネーズ炒め,750,定食,2020-03-23,2020-03-29,,週代わり定食15番
2020033009,豚肉ともやしと春雨のピリ辛炒め,600,定食,2020-03-30,2020-04-05,,週代わり定食9番
2020033015,豚バラ肉の中国みそ炒,750,定食,2020-03-30,2020-04-05,,週代わり定食15番
2020040609,豚バラ肉とエリンギと玉子炒め,600,定食,2020-04-06,2020-04-12,,週代わり定食9番
2020040615,豚肉細切りの四川風炒,750,定食,2020-04-06,2020-04-12,,週代わり定食15番
2020041309,豚肉と高菜と豆腐の旨煮,600,定食,2020-04-13,2020-04-19,,週代わり定食9番
2020041315,豚バラ肉とキャベツの黒コショウ炒め,750,定食,2020-04-13,2020-04-19,,週代わり定食15番
2020050409,豚肉ともやしと春雨のピリ辛炒め,600,定食,2020-05-04,2020-05-10,,週代わり定食9番
2020050415,鶏肉のローガンーマ炒,750,定食,2020-05-04,2020-05-10,,週代わり定食15番
2020051809,干し海老と玉子と豆腐の旨煮,600,定食,2020-05-18,2020-05-24,,週代わり定食9番
2020051815,牛肉と大根の旨煮,750,定食,2020-05-18,2020-05-24,,週代わり定食15番
